age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,feature_1,feature_2,feature_3,feature_4,feature_5,y
72,retired,married,basic.4y,no,no,no,telephone,apr,tue,1,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,1.3874,73.8872,vg1,lv1,fn1,no
30,admin.,single,university.degree,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,-1.7,94.027,-38.3,0.8859999999999999,4991.6,1.3874,31.8872,vg2,lv1,fn2,no
31,unemployed,married,university.degree,no,yes,no,cellular,aug,fri,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,4.3904,35.8872,vg3,lv1,fn3,no
37,admin.,married,high.school,no,yes,yes,cellular,nov,mon,1,999,0,nonexistent,-3.4,92.649,-30.1,0.722,5017.5,1.3874,38.8872,vg4,lv1,fn4,no
53,unemployed,divorced,basic.9y,unknown,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,2.3884,55.8872,vg5,lv1,fn5,no
28,admin.,single,university.degree,no,yes,yes,cellular,may,fri,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,4.3904,32.8872,vg2,lv1,fn2,no
37,services,married,high.school,no,yes,yes,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,2.3884,39.8872,vg4,lv1,fn6,no
43,admin.,divorced,high.school,no,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,2.3884,45.8872,vg6,lv1,fn4,no
37,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,4.3904,41.8872,vg4,lv1,fn7,no
28,blue-collar,married,basic.9y,no,yes,yes,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,2.3884,30.8872,vg7,lv1,fn7,no
29,admin.,married,unknown,no,unknown,unknown,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,3.3894,32.8872,vg7,lv1,fn8,no
36,services,single,basic.6y,unknown,yes,no,telephone,may,fri,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,5.3914,41.8872,vg8,lv1,fn9,no
44,management,single,university.degree,unknown,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,1.3874,45.8872,vg9,lv1,fn10,yes
