stock,rank,org_name,shares,percentage,changes,nature
601398.CH,1,中央汇金投资有限责任公司,12400466.09,34.79%,不变,流通A股
601398.CH,2,中华人民共和国财政部,11098480.67,31.14%,不变,流通A股
601398.CH,3,香港中央结算(代理人)有限公司,8618014.81,24.18%,+225.24,境外可流通股
601398.CH,4,全国社会保障基金理事会,1233164.52,3.46%,不变,流通A股
601398.CH,5,香港中央结算有限公司,248504.48,0.70%,+9811.28,流通A股
601398.CH,6,中国证券金融股份有限公司,241613.15,0.68%,不变,流通A股
601398.CH,7,中央汇金资产管理有限责任公司,101392.17,0.28%,不变,流通A股
601398.CH,8,中国工商银行-上证50交易型开放式指数证券投资基金,68718.85,0.19%,+4567.40,流通A股
601398.CH,9,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,62286.38,0.17%,+4935.99,流通A股
601398.CH,10,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,44513.70,0.12%,+4414.25,流通A股
601857.CH,1,中国石油天然气集团有限公司,15092356.56,82.46%,新进,流通A股
601857.CH,2,香港中央结算(代理人)有限公司,2092004.01,11.43%,-22.52,境外可流通股
601857.CH,3,中国石油化工集团有限公司,183021.00,1.00%,不变,流通A股
601857.CH,4,中国证券金融股份有限公司,102016.51,0.56%,不变,流通A股
601857.CH,5,香港中央结算有限公司,85639.68,0.47%,+35.83,流通A股
601857.CH,6,中国工商银行-上证50交易型开放式指数证券投资基金,22233.48,0.12%,+1487.12,流通A股
601857.CH,7,国丰兴华(北京)私募基金管理有限公司-国丰兴华鸿鹄志远二期私募证券投资基金,21721.36,0.12%,新进,流通A股
601857.CH,8,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,20241.29,0.11%,+1693.84,流通A股
601857.CH,9,中央汇金资产管理有限责任公司,20169.50,0.11%,不变,流通A股
601857.CH,10,交通银行股份有限公司-易方达上证50指数增强型证券投资基金,16842.37,0.09%,不变,流通A股
601728.CH,1,中国电信集团有限公司,5847651.92,63.90%,不变,流通A股
601728.CH,2,香港中央结算(代理人)有限公司,1384887.86,15.13%,+36.35,境外可流通股
601728.CH,3,广东省广晟控股集团有限公司,479408.27,5.24%,不变,流通A股
601728.CH,4,浙江省财务开发有限责任公司,213747.36,2.34%,不变,流通A股
